Hora,KW,Meses,Días de la Semana,kW_promedio(Hora),kW_promedio(Meses),kW_promedio(Semana)
12,1716.7,1,1,5347.095989036089,2990.786090949821,5044.38390825688
12,1767.46,1,1,5347.095989036089,2990.786090949821,5044.38390825688
13,1828.81,1,1,5666.37997715852,2990.786090949821,5044.38390825688
13,1830.72,1,1,5666.37997715852,2990.786090949821,5044.38390825688
13,1802.04,1,1,5666.37997715852,2990.786090949821,5044.38390825688
13,1758.45,1,1,5666.37997715852,2990.786090949821,5044.38390825688
13,1800.09,1,1,5666.37997715852,2990.786090949821,5044.38390825688
13,1860.6,1,1,5666.37997715852,2990.786090949821,5044.38390825688
14,1809.76,1,1,5624.91337912088,2990.786090949821,5044.38390825688
14,1759.68,1,1,5624.91337912088,2990.786090949821,5044.38390825688
14,1773.87,1,1,5624.91337912088,2990.786090949821,5044.38390825688
14,1806.32,1,1,5624.91337912088,2990.786090949821,5044.38390825688
14,1809.26,1,1,5624.91337912088,2990.786090949821,5044.38390825688
14,1807.9,1,1,5624.91337912088,2990.786090949821,5044.38390825688
15,1830.95,1,1,5407.430425824176,2990.786090949821,5044.38390825688
15,1804.28,1,1,5407.430425824176,2990.786090949821,5044.38390825688
15,1855.62,1,1,5407.430425824176,2990.786090949821,5044.38390825688
15,1837.87,1,1,5407.430425824176,2990.786090949821,5044.38390825688
15,1798.29,1,1,5407.430425824176,2990.786090949821,5044.38390825688
15,1801.31,1,1,5407.430425824176,2990.786090949821,5044.38390825688
16,1821.14,1,1,5072.167733516483,2990.786090949821,5044.38390825688
16,1790.5,1,1,5072.167733516483,2990.786090949821,5044.38390825688
16,1845.57,1,1,5072.167733516483,2990.786090949821,5044.38390825688
16,1750.46,1,1,5072.167733516483,2990.786090949821,5044.38390825688
16,1774.29,1,1,5072.167733516483,2990.786090949821,5044.38390825688
16,1768.01,1,1,5072.167733516483,2990.786090949821,5044.38390825688
17,1739.6,1,1,4452.802573260074,2990.786090949821,5044.38390825688
